"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c457 a0 o1 t457",2.260972e-09,0,2.260972e-09,2.260972e-09,"     ","       ",2
"p sA g1 c457 a1 o1 t458",3.466776e-09,0,3.466776e-09,3.466776e-09,"     ","       ",2
"Psi sA toC g1 c457 a0 o1 t457",0.9999982,0,0.9999982,0.9999982,"     ","       ",2
