"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c414 a0 o1 t414",0.4670209,0.1043031,0.278198,0.6657893,"     ","       ",19
"p sA g1 c414 a1 o1 t415",0.6360424,0.1905857,0.2581851,0.8976956,"     ","       ",19
"Psi sA toB g1 c414 a0 o1 t414",0.0891109,0.0599445,0.0224885,0.2937849,"     ","       ",19
