"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c414 a0 o1 t414",0.8225625,0.0119192,0.7979843,0.8447323,"     ","       ",885
"S sA g1 c414 a23 o24 t437",0.8007088,0.0116609,0.7768673,0.8225846,"     ","       ",885
"S sB g1 c414 a0 o1 t414",0.8468354,0.0119389,0.8219452,0.8688016,"     ","       ",885
"S sB g1 c414 a23 o24 t437",0.8273437,0.0122249,0.8020535,0.8500071,"     ","       ",885
"S sC g1 c414 a0 o1 t414",0.8116942,0.021116,0.766791,0.8496469,"     ","       ",885
"S sC g1 c414 a23 o24 t437",0.7888456,0.0169135,0.7537957,0.8200965,"     ","       ",885
"p sA g1 c414 a1 o1 t415",0.2859467,0.0092881,0.2680944,0.3044931,"     ","       ",885
"Psi sA toB g1 c414 a0 o1 t414",0.002238,0.000677172,0.0012364,0.0040477,"     ","       ",885
