"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c413 a0 o1 t413",0.7530226,0.0358351,0.67637,0.8164469,"     ","       ",38
"p sA g1 c413 a1 o1 t414",0.7446175,0.0486862,0.6383709,0.8280565,"     ","       ",38
"Psi sA toB g1 c413 a0 o1 t413",2.076847e-09,3.174074e-06,-6.219108e-06,6.223262e-06,"     ","       ",38
