"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c415 a0 o1 t415",0.8225513,0.0163072,0.7883073,0.8522939,"     ","       ",104
"p sA g1 c415 a1 o1 t416",0.6089727,0.0258369,0.5573302,0.6582845,"     ","       ",104
"Psi sA toB g1 c415 a0 o1 t415",0.0072561,0.0029557,0.0032597,0.0160732,"     ","       ",104
