"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c434 a0 o1 t434",0.1538485,0.1000689,0.0387395,0.4506424,"     ","       ",12
"p sA g1 c434 a1 o1 t435",1,7.100352e-05,0.9998608,1.0001392,"     ","       ",12
"Psi sA toB g1 c434 a0 o1 t434",2.35694e-09,3.312035e-05,-6.491352e-05,6.491823e-05,"     ","       ",12
