"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c439 a0 o1 t439",1,7.073995e-05,0.9998613,1.0001386,"     ","       ",8
"p sA g1 c439 a1 o1 t440",0.018849,1.676213e-06,0.0188457,0.0188523,"     ","       ",8
"Psi sA toB g1 c439 a0 o1 t439",0.0013532,1.603004e-06,0.0013501,0.0013564,"     ","       ",8
"Psi sA toC g1 c439 a0 o1 t439",0.9999998,1.194374e-08,0.9999998,0.9999998,"     ","       ",8
"Psi sB toA g1 c439 a0 o1 t439",1.769143e-16,2.53007e-11,-4.958919e-11,4.958954e-11,"     ","       ",8
"Psi sB toC g1 c439 a0 o1 t439",3.217141e-16,2.97959e-11,-5.839964e-11,5.840028e-11,"     ","       ",8
"Psi sC toA g1 c439 a0 o1 t439",1,1.312515e-06,0.9999974,1.0000026,"     ","       ",8
"Psi sC toB g1 c439 a0 o1 t439",0.0374383,7.333681e-06,0.0374239,0.0374527,"     ","       ",8
