"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c424 a0 o1 t424",0.6660966,0.0389233,0.5860289,0.737612,"     ","       ",88
"p sA g1 c424 a1 o1 t425",0.3261958,0.0500973,0.2364602,0.4307729,"     ","       ",88
"Psi sA toB g1 c424 a0 o1 t424",0.0955211,0.0254486,0.0559702,0.1583329,"     ","       ",88
