"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sB g1 c458 a0 o1 t458",2.875992e-09,0,2.875992e-09,2.875992e-09,"     ","       ",2
"p sB g1 c458 a1 o1 t459",7.466587e-09,0,7.466587e-09,7.466587e-09,"     ","       ",2
"Psi sB toC g1 c458 a0 o1 t458",0.0022013,0,0.0022013,0.0022013,"     ","       ",2
