"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c437 a0 o1 t437",0.8594648,0.0219159,0.8108002,0.8971992,"     ","       ",96
"S sB g1 c437 a0 o1 t437",0.7738931,0.054854,0.6493082,0.8635215,"     ","       ",96
"S sC g1 c437 a0 o1 t437",0.7921925,0.0293306,0.7288872,0.843882,"     ","       ",96
"p sA g1 c437 a1 o1 t438",0.6115491,0.0267451,0.5580283,0.6625086,"     ","       ",96
"Psi sA toB g1 c437 a0 o1 t437",0.0065837,0.0029395,0.0027389,0.0157405,"     ","       ",96
