"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c439 a0 o1 t439",1,0,1,1,"     ","       ",8
"p sA g1 c439 a1 o1 t440",0.180954,1.262321e-06,0.1809516,0.1809565,"     ","       ",8
"Psi sA toB g1 c439 a0 o1 t439",0.1226205,3.180562e-06,0.1226143,0.1226268,"     ","       ",8
"Psi sA toC g1 c439 a0 o1 t439",0.9999994,1.078306e-08,0.9999994,0.9999994,"     ","       ",8
"Psi sB toA g1 c439 a0 o1 t439",0.999996,4.567138e-08,0.9999959,0.9999961,"     ","       ",8
"Psi sB toC g1 c439 a0 o1 t439",0.9879643,1.49602e-06,0.9879614,0.9879672,"     ","       ",8
"Psi sC toA g1 c439 a0 o1 t439",4.142931e-05,5.190831e-07,4.04243e-05,4.245931e-05,"     ","       ",8
"Psi sC toB g1 c439 a0 o1 t439",0.3802833,2.737949e-06,0.3802779,0.3802887,"     ","       ",8
