"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c437 a0 o1 t437",0.4000007,0.1264911,0.191782,0.6519333,"     ","       ",10
"p sA g1 c437 a1 o1 t438",1,3.209901e-05,0.9999371,1.0000629,"     ","       ",10
"Psi sA toB g1 c437 a0 o1 t437",0.0833345,0.0760729,0.0127455,0.3903095,"     ","       ",10
