"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sB g1 c437 a0 o1 t437",0.7155388,0.0754454,0.5488298,0.838747,"     ","       ",12
"p sB g1 c437 a1 o1 t438",0.6505687,0.1121699,0.4144562,0.8304266,"     ","       ",12
"Psi sB toC g1 c437 a0 o1 t437",2.127847e-09,9.74068e-06,-1.908961e-05,1.909386e-05,"     ","       ",12
