"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c437 a0 o1 t437",0.4351757,0.1017303,0.2550295,0.6342367,"     ","       ",52
"p sA g1 c437 a1 o1 t438",0.2800481,0.1224121,0.1058154,0.561135,"     ","       ",52
"Psi sA toB g1 c437 a0 o1 t437",0.0325449,0.0319285,0.0045885,0.1971054,"     ","       ",52
