"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c437 a0 o1 t437",0.7899636,0.0135164,0.7622472,0.8152321,"     ","       ",599
"S sB g1 c437 a0 o1 t437",0.8272695,0.0145109,0.7969535,0.853889,"     ","       ",599
"S sC g1 c437 a0 o1 t437",0.7892986,0.017037,0.7539728,0.820758,"     ","       ",599
"p sA g1 c437 a1 o1 t438",0.2897377,0.0122228,0.2663792,0.3142671,"     ","       ",599
"Psi sA toB g1 c437 a0 o1 t437",0.0010286,0.0005946898,0.0003310545,0.0031912,"     ","       ",599
