"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c446 a0 o1 t446",2.692342e-09,0,2.692342e-09,2.692342e-09,"     ","       ",3
"p sA g1 c446 a1 o1 t447",2.042548e-08,0,2.042548e-08,2.042548e-08,"     ","       ",3
"Psi sA toB g1 c446 a0 o1 t446",0.9999994,0,0.9999994,0.9999994,"     ","       ",3
