"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c437 a0 o1 t437",0.79152,0.0295137,0.7278138,0.8435212,"     ","       ",62
"p sA g1 c437 a1 o1 t438",0.2558923,0.0379987,0.1886864,0.3370899,"     ","       ",62
"Psi sA toB g1 c437 a0 o1 t437",0.0342069,0.0124861,0.0166052,0.0691545,"     ","       ",62
