"plot","censusdate","numericdate","treatment","energy"
21,2013-09-14,15.962,"EE",97.9523504636871
5,2013-09-14,15.962,"XC",27.2967668641915
7,2013-09-14,15.962,"XC",9.10049888342792
24,2013-09-14,15.962,"XC",43.2069112256248
10,2013-09-14,15.962,"XX",9.8098975322922
16,2013-09-14,15.962,"XX",36.7549732841473
23,2013-09-14,15.962,"XX",32.3514004155615
4,2013-11-02,16.011,"CC",63.1832156185718
11,2013-11-02,16.011,"CC",17.8295601186244
14,2013-11-02,16.011,"CC",25.4831399479172
17,2013-11-02,16.011,"CC",29.702203025582
2,2013-11-02,16.011,"CE",67.3575356245552
8,2013-11-02,16.011,"CE",54.2731653164934
22,2013-11-02,16.011,"CE",54.0321786386739
1,2013-11-02,16.011,"CX",45.0450783426226
9,2013-11-02,16.011,"CX",24.3721440285927
12,2013-11-02,16.011,"CX",44.6042596225294
6,2013-11-02,16.011,"EC",51.6576099772425
13,2013-11-02,16.011,"EC",80.2662052052348
18,2013-11-02,16.011,"EC",55.825211552047
3,2013-11-02,16.011,"EE",76.0351107622341
15,2013-11-02,16.011,"EE",32.7867136049495
19,2013-11-02,16.011,"EE",33.4491189581528
20,2013-11-02,16.011,"EE",81.419751046196
21,2013-11-02,16.011,"EE",88.6120545334099
5,2013-11-02,16.011,"XC",7.23762415540039
7,2013-11-02,16.011,"XC",46.7898800292963
24,2013-11-02,16.011,"XC",0
10,2013-11-02,16.011,"XX",9.10049888342792
16,2013-11-02,16.011,"XX",18.8023311098182
23,2013-11-02,16.011,"XX",20.9902374197911
4,2013-12-29,16.068,"CC",0
11,2013-12-29,16.068,"CC",8.73885189073182
14,2013-12-29,16.068,"CC",0
17,2013-12-29,16.068,"CC",17.0839978210978
2,2013-12-29,16.068,"CE",82.9058881147292
8,2013-12-29,16.068,"CE",0
22,2013-12-29,16.068,"CE",15.905414575341
1,2013-12-29,16.068,"CX",25.5401625000172
9,2013-12-29,16.068,"CX",0
12,2013-12-29,16.068,"CX",34.1877644231627
6,2013-12-29,16.068,"EC",0
13,2013-12-29,16.068,"EC",38.1527789866862
18,2013-12-29,16.068,"EC",8.73885189073182
3,2013-12-29,16.068,"EE",23.998950079386
15,2013-12-29,16.068,"EE",10.8432240433181
19,2013-12-29,16.068,"EE",23.9573209613476
20,2013-12-29,16.068,"EE",24.6632763084595
21,2013-12-29,16.068,"EE",33.2694050596628
5,2013-12-29,16.068,"XC",0
7,2013-12-29,16.068,"XC",13.768462780418
24,2013-12-29,16.068,"XC",11.5141003709978
10,2013-12-29,16.068,"XX",0
16,2013-12-29,16.068,"XX",0
23,2013-12-29,16.068,"XX",19.4666573388917
4,2014-02-01,16.102,"CC",0
11,2014-02-01,16.102,"CC",8.73885189073182
14,2014-02-01,16.102,"CC",0
17,2014-02-01,16.102,"CC",9.8098975322922
2,2014-02-01,16.102,"CE",15.7816191326737
8,2014-02-01,16.102,"CE",0
22,2014-02-01,16.102,"CE",13.768462780418
1,2014-02-01,16.102,"CX",22.9993678307331
9,2014-02-01,16.102,"CX",0
12,2014-02-01,16.102,"CX",55.1379764971412
6,2014-02-01,16.102,"EC",33.8353365325775
13,2014-02-01,16.102,"EC",46.8826943946683
18,2014-02-01,16.102,"EC",50.3844899431745
3,2014-02-01,16.102,"EE",36.7934687844893
15,2014-02-01,16.102,"EE",20.6531215756103
19,2014-02-01,16.102,"EE",13.4956803507427
20,2014-02-01,16.102,"EE",57.9378268321297
21,2014-02-01,16.102,"EE",42.3548848661569
5,2014-02-01,16.102,"XC",11.5141003709978
7,2014-02-01,16.102,"XC",13.1377583798657
24,2014-02-01,16.102,"XC",39.798287414592
10,2014-02-01,16.102,"XX",0
16,2014-02-01,16.102,"XX",9.45741609003176
23,2014-02-01,16.102,"XX",35.0938251915451
4,2014-03-01,16.13,"CC",10.1582058807703
11,2014-03-01,16.13,"CC",31.1403330439555
14,2014-03-01,16.13,"CC",9.8098975322922
17,2014-03-01,16.13,"CC",62.7563040728659
2,2014-03-01,16.13,"CE",65.4319632363405
8,2014-03-01,16.13,"CE",25.2370672285534
22,2014-03-01,16.13,"CE",18.9148321800635
1,2014-03-01,16.13,"CX",76.5523251231583
9,2014-03-01,16.13,"CX",0
12,2014-03-01,16.13,"CX",72.3312592621694
6,2014-03-01,16.13,"EC",42.669799013033
13,2014-03-01,16.13,"EC",59.8274641870517
18,2014-03-01,16.13,"EC",55.0005082897515
3,2014-03-01,16.13,"EE",31.2544746864326
15,2014-03-01,16.13,"EE",18.4652152656374
19,2014-03-01,16.13,"EE",46.7292079578075
20,2014-03-01,16.13,"EE",48.2585903809981
21,2014-03-01,16.13,"EE",53.5675553063253
5,2014-03-01,16.13,"XC",33.3389165674609
7,2014-03-01,16.13,"XC",24.3414568808807
24,2014-03-01,16.13,"XC",61.9392715977053
10,2014-03-01,16.13,"XX",28.0770200954328
16,2014-03-01,16.13,"XX",28.2193690440447
23,2014-03-01,16.13,"XX",10.1522545865127
4,2014-03-29,16.158,"CC",51.6300449131458
11,2014-03-29,16.158,"CC",36.704281213642
14,2014-03-29,16.158,"CC",34.4494217895166
17,2014-03-29,16.158,"CC",62.7838192205249
2,2014-03-29,16.158,"CE",64.8210545447287
8,2014-03-29,16.158,"CE",70.8245148074573
22,2014-03-29,16.158,"CE",38.84282450808
1,2014-03-29,16.158,"CX",108.623211770972
9,2014-03-29,16.158,"CX",46.4845698720056
12,2014-03-29,16.158,"CX",45.1256517222009
6,2014-03-29,16.158,"EC",90.49262397516
13,2014-03-29,16.158,"EC",116.558095494465
18,2014-03-29,16.158,"EC",40.9672765910465
3,2014-03-29,16.158,"EE",115.668524693446
15,2014-03-29,16.158,"EE",66.8561117617396
19,2014-03-29,16.158,"EE",50.4188391705767
20,2014-03-29,16.158,"EE",45.3254461808783
21,2014-03-29,16.158,"EE",67.9548061454813
5,2014-03-29,16.158,"XC",49.6136585661988
7,2014-03-29,16.158,"XC",60.321739100756
24,2014-03-29,16.158,"XC",75.4390955168788
10,2014-03-29,16.158,"XX",16.8833293978554
16,2014-03-29,16.158,"XX",27.5534768370226
23,2014-03-29,16.158,"XX",18.9103964157201
4,2014-04-26,16.186,"CC",96.9799880715997
11,2014-04-26,16.186,"CC",21.0014299240884
14,2014-04-26,16.186,"CC",48.2921303415058
17,2014-04-26,16.186,"CC",77.6789777503248
2,2014-04-26,16.186,"CE",102.77152523366
8,2014-04-26,16.186,"CE",64.2608071324039
22,2014-04-26,16.186,"CE",43.8151960946124
1,2014-04-26,16.186,"CX",61.9151651330131
