"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"3","~-1 + stratum","~1","~1","S(~-1 + stratum)p(~1)Psi(~1)",5,958.251679325843,0,0.46667941547523,825.70014
"1","~1","~1","~1","S(~1)p(~1)Psi(~1)",3,958.640129106145,0.388449780302494,0.384297754816638,830.19009
"4","~-1 + stratum","~1","~-1 + stratum:tostratum","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",10,961.885790626781,3.63411130093789,0.0758370451053046,818.876
"2","~1","~1","~-1 + stratum:tostratum","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",8,961.956962011331,3.70528268548878,0.0731857846028272,823.16603
