"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"1","~1","~1","~1","S(~1)p(~1)Psi(~1)",3,401.512135714286,0,0.692449338466733,350.43109
"2","~1","~1","~-1 + stratum:tostratum","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",8,404.117834392523,2.60569867823767,0.188177513639087,341.90528
"3","~-1 + stratum","~1","~1","S(~-1 + stratum)p(~1)Psi(~1)",5,405.420034545455,3.90789883116884,0.0981292671810237,350.00781
"4","~-1 + stratum","~1","~-1 + stratum:tostratum","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",10,408.480468095238,6.96833238095235,0.0212438807131562,341.51847
