"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"2","~1","~1","~-1 + stratum:tostratum","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",8,-121.691205,0,1,6.308795
"4","~-1 + stratum","~1","~-1 + stratum:tostratum","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",10,-45.6303668333333,76.0608381666667,0,7.7029665
"1","~1","~1","~1","S(~1)p(~1)Psi(~1)",3,15.8933372,137.5845422,0,3.8933372
"3","~-1 + stratum","~1","~1","S(~-1 + stratum)p(~1)Psi(~1)",5,42.3263017,164.0175067,0,2.3263017
