"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"4","~-1 + stratum","~1","~-1 + stratum:tostratum","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",10,224.418899382716,0,0.540525101887587,130.14719
"2","~1","~1","~-1 + stratum:tostratum","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",8,224.759189759036,0.34029037632007,0.455955806759176,135.4686
"1","~1","~1","~1","S(~1)p(~1)Psi(~1)",3,235.462617272727,11.0437178900112,0.00216124000414479,157.63423
"3","~-1 + stratum","~1","~1","S(~-1 + stratum)p(~1)Psi(~1)",5,236.392174418605,11.9732750358886,0.00135785134909223,154.13885
