"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"1","~1","~1","~1","S(~1)p(~1)Psi(~1)",3,-6,0,0.32899138391206,0
"2","~1","~1","~-1 + stratum:tostratum","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",4,-5.33333333333333,0.666666666666666,0.235732627481993,0
"3","~-1 + stratum","~1","~1","S(~-1 + stratum)p(~1)Psi(~1)",4,-5.33333333333333,0.666666666666666,0.235732627481993,2.220446e-16
"4","~-1 + stratum","~1","~-1 + stratum:tostratum","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",5,-5,1,0.199543361123954,0
